CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
ZW,SAfr,-19.8,11.6,20.4,-22.8,16.4,31.25,-22.04
ZA,SAfr,-22.1,6.5,17.9,-37.8,10.7,31.29,-27.51
ZA,SAfr,-21.4,7.1,18.3,-39.9,11.8,31.29,-27.51
ZA,SAfr,-21.2,7,17.7,-42.2,11.1,31.29,-27.51
ZA,SAfr,-21.4,7.1,16.9,-41,10.8,31.29,-27.51
ZA,SAfr,-21.4,7.2,17,-37.8,11.1,31.29,-27.51
ZA,SAfr,-21.4,7.2,16,-39.9,10.5,31.29,-27.51
ZA,SAfr,-19.1,8.5,18.7,-25.6,15,31.45,-23.83
ZA,SAfr,-20.7,8.2,18.1,-34.6,8.2,26.31,-24.76
ZA,SAfr,-20,9,17.8,-38.2,8.9,26.31,-24.76
MZ,SAfr,-19.7,7.3,16.4,-46.3,8.9,31.15,-14.86
MZ,SAfr,-22.3,8.5,16,-38.3,5.6,37.64,-12.44
MZ,SAfr,-21.9,9,13.7,-38.2,9.6,38.51,-12
MZ,SAfr,-22.4,8.5,14.7,-34.9,5.6,38.51,-12
MZ,SAfr,-20.2,8.1,16.6,-38.9,5.6,37.15,-12.29
BW,SAfr,-21.6,11.4,17.7,-50,16,23.34,-19.8
BW,SAfr,-21.8,11.1,18.6,-37,14.9,23.34,-19.8
BW,SAfr,-21.1,10.3,17.1,-27.2,12.8,27.73,-21.89
ZA,SAfr,-20.3,11.3,17.7,-30,12.8,29.41,-22.2
ZA,SAfr,-21.9,7.7,17.2,-38.4,8.3,27.07,-25.24
ZA,SAfr,-21,7.3,17.2,-36.1,8.3,27.07,-25.24
MZ,SAfr,-22.8,7.6,16.3,-43.8,5.7,32.58,-14.6
MZ,SAfr,-21.7,7,15.9,-39,10.3,36.86,-11.9
MZ,SAfr,-23.5,8.6,16.5,-30.4,9.5,38.51,-12
MZ,SAfr,-23.4,8.1,15.2,-35.8,9.3,37.84,-12
BW,SAfr,-21.8,9.3,17.9,-32.1,9.6,28.91,-22.2
BW,SAfr,-21.7,10.6,18.2,-24,8.5,28.91,-22.2
BW,SAfr,-20.5,11.1,17.8,-42.9,12.8,21.92,-21.72
BW,SAfr,-21.8,8.7,16.7,-46.2,12,25.13,-17.84
ZA,SAfr,-20.2,9,17.3,-28.6,16,31.16,-22.83
ZA,SAfr,-19.1,8.7,17.4,-38.5,15.9,31.45,-23.83
MZ,SAfr,-23.4,8.7,16.6,-35.4,10,38.52,-12
MZ,SAfr,-21.5,7.1,16.2,-42.3,10.8,32.1,-14.7
MZ,SAfr,-21.1,7.4,16.1,-44.6,4.5,38.91,-11.26
MZ,SAfr,-22.5,6.9,15.7,-35.8,8.4,38.42,-11.55
MZ,SAfr,-22.9,9.8,16.7,-33.6,8.4,37.7,-12
MZ,SAfr,-21.9,7.4,17.7,-36.5,8.3,37.84,-12.3
MZ,SAfr,-22.5,6.7,16.5,-41.6,8.9,37.3,-12
MZ,SAfr,-22,7.5,15.5,-41.6,8.4,37.84,-12.3
MZ,SAfr,-22,6.9,16.7,-37.7,10.5,37.85,-11.31
ZW,SAfr,-19.8,8.8,20.1,-33.1,14.8,31.72,-21.81
AO,SAfr,-19.7,9.2,17.1,-45.6,8.6,14.21,-17.38
AO,SAfr,-20.1,12.8,16.4,-47.1,9.4,14.21,-17.38
MZ,SAfr,-21.1,6.3,15.1,-74.2,8.5,34.34,-18.66
MZ,SAfr,-18.6,10.7,17.6,-35,13.5,34.34,-18.66
MZ,SAfr,-19.9,7,15.9,-58.3,7.8,34.34,-18.66
MZ,SAfr,-20.2,10.6,16.9,-47.6,10.5,34.34,-18.66
MZ,SAfr,-21.3,7.2,15.4,-55.8,8.4,34.34,-18.66
MZ,SAfr,-21.4,7.8,15.1,-50.3,8.2,34.34,-18.66
BW,SAfr,-21.9,11.1,16,-52.4,12,23.34,-19.8
BW,SAfr,-21.5,9.7,20.2,-36.4,16.4,27.57,-21.65
BW,SAfr,-20.5,10.1,16.8,-51.9,15.6,27.57,-21.65
BW,SAfr,-20.6,11.8,21.5,-20.8,15.2,27.57,-21.65
BW,SAfr,-21.9,8.8,20.1,-32.3,16.7,27.57,-21.65
BW,SAfr,-21.7,8.2,18.4,-45,18.3,27.57,-21.65
BW,SAfr,-21.8,8.7,21.1,-36.9,17.8,27.57,-21.65
BW,SAfr,-20.9,5.9,15.9,-56.1,10,25.13,-17.84
BW,SAfr,-20.2,9.2,19.3,-39.6,17.3,27.57,-21.65
BW,SAfr,-20.1,10.2,20.6,-38.1,16.4,27.57,-21.65
BW,SAfr,-20.5,11.6,18.8,-42.1,14.9,25.13,-17.84
BW,SAfr,-19.1,10.2,17.6,-38.5,14.6,23.34,-19.8
BW,SAfr,-20.6,11,15.9,-48,12.8,25.13,-17.84
BW,SAfr,-20.2,13.9,17.3,-30.4,14.2,23.34,-19.8
BW,SAfr,-21.4,10,19.5,-39,17,27.57,-21.65
BW,SAfr,-21.6,11.2,20.9,-38.6,13.5,23.34,-19.8
BW,SAfr,-21.1,11.3,16.7,-49.5,10.7,23.34,-19.8
BW,SAfr,-18.9,11.6,20,-30.6,12.6,23.34,-19.8
BW,SAfr,-21.8,9.3,18.2,-42.1,12.6,25.13,-17.84
BW,SAfr,-20.9,8.2,18.8,-42.2,12.1,25.13,-17.84
BW,SAfr,-21.6,10.6,19.7,-33.6,15.4,23.34,-19.8
BW,SAfr,-21.8,10.2,18.7,-36.8,11.8,25.13,-17.84
BW,SAfr,-18.6,11,18.1,-40,11.4,23.02,-19.62
BW,SAfr,-20.7,10,20.3,-40.1,13.7,23.34,-19.8
BW,SAfr,-16.8,11.4,19.3,-22.3,11.2,28.91,-22.2
BW,SAfr,-20.5,11.5,17.7,-43.9,13.1,32.36,-19.8
BW,SAfr,-20.6,7.8,20.6,-37.6,10.5,25.13,-17.84
BW,SAfr,-20.7,12.2,20.4,-30.5,16.7,27.57,-21.65
BW,SAfr,-19.7,9.3,18.8,-39.3,9.2,25.13,-17.84
BW,SAfr,-17.8,9.8,17.8,-46.4,12,25.13,-17.84
